Age,Gender,Marital_Status,Education,Employment_Type,Years_Employed,Applicant_Income,CoApplicant_Income,CIBIL_Score,Existing_Debt,Property_Value,Loan_Amount,Loan_Term,Loan_Status
35,Female,Married,HighSchool,Salaried,7,86626,57660,308,2857733,5611142,2846590,60,0
32,Female,Married,Postgraduate,Business,19,159701,61550,550,100734,9046310,2951274,240,1
36,Female,Married,Postgraduate,Business,25,48662,98818,426,4346664,5313673,661165,180,0
38,Female,Married,HighSchool,Salaried,24,94148,83186,421,3832978,6652941,694604,360,0
52,Male,Married,Postgraduate,Business,17,31082,661,848,1031519,9677960,584410,180,0
48,Female,Single,HighSchool,Salaried,28,31309,55230,506,2614150,7738987,1668560,360,0
51,Female,Single,Graduate,Business,19,114259,39063,861,1391538,2863999,820488,240,1
54,Female,Married,Postgraduate,SelfEmployed,1,139677,45350,670,2797753,9979413,349474,360,0
38,Female,Single,HighSchool,Salaried,2,34975,26723,777,2971981,4350241,1443862,360,0
25,Female,Single,Graduate,Business,21,111059,94588,313,4919799,6040070,2298611,120,0
59,Female,Single,HighSchool,Salaried,24,82649,64674,528,4171774,652999,448619,240,0
43,Male,Single,HighSchool,Business,2,48397,82189,891,1042377,5077033,2011627,60,0
21,Male,Married,HighSchool,Salaried,24,86635,85112,406,317348,5925838,1426283,360,0
48,Male,Single,Postgraduate,SelfEmployed,28,49707,20337,633,1916545,8561896,2943940,240,0
46,Male,Single,HighSchool,SelfEmployed,5,91260,28404,358,2947762,3540267,1397076,120,0
44,Male,Single,Postgraduate,Business,24,104393,61212,484,146470,7435774,1467223,180,1
43,Female,Married,HighSchool,Business,12,143335,1969,674,1170439,5490961,747296,360,1
52,Female,Single,HighSchool,Business,14,63320,47414,418,4642929,8917233,2933552,120,0
28,Male,Married,Graduate,SelfEmployed,7,183280,54061,300,3570834,5328761,2757499,120,0
26,Male,Single,Graduate,Salaried,24,126279,72460,884,2739956,3119980,2675518,60,0
31,Female,Married,Graduate,Business,13,82203,91749,318,4230625,2932593,256498,360,0
31,Male,Married,Postgraduate,Business,6,106736,51924,364,1961977,7549926,764468,180,0
49,Male,Single,Graduate,Salaried,2,168515,79973,566,2042823,1548173,1602025,120,0
29,Male,Single,Postgraduate,Business,5,46348,64732,453,2380932,2154753,1202127,360,0
35,Female,Married,HighSchool,SelfEmployed,15,173038,81709,797,2779499,7813834,2910860,360,0
43,Male,Single,HighSchool,Salaried,27,54310,56088,350,3617556,758517,1055154,120,0
34,Male,Married,Graduate,Business,26,188724,72430,455,424226,4617923,1518897,120,0
33,Female,Married,Graduate,Business,10,129014,44139,885,4092966,7912620,163646,60,1
56,Female,Married,Postgraduate,SelfEmployed,21,167747,71031,661,4192814,9882778,2809644,360,0
42,Female,Single,Postgraduate,Salaried,14,96929,76153,883,1775767,8483823,2429753,180,0
57,Female,Married,HighSchool,SelfEmployed,9,103920,65681,738,2881777,3248996,295246,60,0
55,Female,Married,Graduate,SelfEmployed,20,64104,41621,731,4758982,5834538,2255145,60,0
34,Male,Single,Graduate,Business,24,32727,4358,896,257681,8982626,1535177,360,0
59,Male,Single,HighSchool,SelfEmployed,23,175443,51501,830,1124905,3605958,794892,240,1
57,Male,Married,HighSchool,Salaried,7,69624,10106,369,4571843,4810796,2269392,240,0
22,Female,Single,HighSchool,Salaried,7,71549,34503,861,1908802,7834901,1648075,360,0
23,Female,Married,Postgraduate,SelfEmployed,11,165273,58576,653,4466134,2054205,2512659,240,0
56,Male,Single,Graduate,SelfEmployed,14,40592,28982,507,4180413,3996605,854296,240,0
37,Female,Married,HighSchool,Business,12,87982,55922,403,2126453,1771300,1144327,240,0
21,Male,Married,Graduate,Business,21,71273,91878,460,4572148,8440879,110699,240,0
54,Male,Married,Graduate,SelfEmployed,17,139481,84328,640,2657025,3824664,492136,60,0
31,Male,Married,Postgraduate,SelfEmployed,25,51035,64977,610,4809109,4235466,1683246,240,0
57,Female,Married,HighSchool,Salaried,9,40169,87468,457,4386007,5787913,1222437,180,0
36,Male,Married,Postgraduate,Salaried,14,127020,24226,877,4115362,1752557,204211,120,1
30,Male,Married,Graduate,Salaried,21,44984,73822,409,4887349,5685773,245788,240,0
23,Male,Single,Postgraduate,Salaried,12,194316,17347,836,556110,9852771,1630891,240,1
33,Male,Married,Postgraduate,Salaried,27,50262,78213,342,1921277,4754849,2421046,180,0
51,Male,Single,HighSchool,Business,9,119792,55677,552,1533854,2561774,1304680,180,0
29,Male,Single,Graduate,Business,13,155146,6406,379,909711,4211584,2818979,240,0
59,Female,Single,Graduate,SelfEmployed,27,187851,68828,719,1544613,1797638,535684,240,1
55,Male,Single,Postgraduate,Business,6,156028,76373,809,2290870,9482913,163037,180,1
41,Female,Married,HighSchool,Salaried,9,39022,5542,364,1726676,2185996,1336180,360,0
38,Male,Single,Graduate,SelfEmployed,16,156706,4798,607,1693439,2331094,1159325,240,0
54,Female,Married,Postgraduate,SelfEmployed,8,43380,26035,721,4913705,6769324,1528080,60,0
37,Female,Single,Graduate,Salaried,1,195795,3631,328,304224,4914473,2811793,120,0
41,Female,Single,HighSchool,Business,7,174674,88789,499,1727408,3301742,1155675,360,0
39,Male,Married,Graduate,SelfEmployed,4,188063,70476,499,3468792,987510,2260682,60,0
44,Male,Married,Graduate,Salaried,19,103340,94439,665,403082,9089747,1128494,180,1
27,Male,Married,HighSchool,SelfEmployed,25,44956,76295,619,2013321,6571845,2618638,240,0
37,Male,Married,Graduate,Salaried,1,197051,97661,889,3843688,7770518,1417630,120,0
30,Male,Married,HighSchool,Business,21,123212,39071,650,981883,2168321,813226,120,1
35,Male,Married,Postgraduate,SelfEmployed,8,168240,70119,423,1519603,2250740,963403,180,0
41,Male,Married,Postgraduate,SelfEmployed,6,91272,37643,532,4500398,5377708,1647261,360,0
28,Female,Married,Postgraduate,SelfEmployed,22,160643,94463,897,1265898,2620539,980412,360,1
38,Female,Single,Graduate,SelfEmployed,19,170930,48689,762,1226134,4190583,2620107,360,1
42,Male,Single,Graduate,Salaried,23,23706,8894,318,29725,9684536,1729311,360,0
28,Female,Married,Graduate,Salaried,2,53787,62946,523,3909439,6127745,1740920,120,0
41,Female,Married,HighSchool,SelfEmployed,26,91865,31656,411,2528268,3599555,1589493,120,0
46,Female,Married,Graduate,Business,13,160016,19873,736,3235192,2435090,845182,180,0
57,Female,Married,HighSchool,Salaried,3,122539,18313,835,1770485,5242297,2301044,360,0
30,Female,Married,Graduate,Salaried,19,42766,68099,520,3214850,8483439,586275,120,0
50,Female,Single,HighSchool,SelfEmployed,16,83926,5997,510,443031,9979276,2350041,360,0
51,Female,Married,HighSchool,Salaried,3,20469,28854,412,1828022,6867712,1509854,240,0
48,Male,Single,HighSchool,Salaried,27,36621,75564,460,3584197,811955,2227599,180,0
35,Female,Single,Postgraduate,SelfEmployed,6,160544,3471,804,4710899,5789730,343306,60,1
50,Female,Married,Graduate,Business,16,98820,84530,725,4002713,7528722,687100,360,0
40,Male,Single,Postgraduate,Salaried,3,41201,19715,594,1577969,4151387,2204683,240,0
51,Female,Married,Graduate,Salaried,29,147503,74603,713,4859221,4301250,1052246,240,0
34,Female,Married,Postgraduate,SelfEmployed,9,22896,32972,881,3921451,1066088,1244620,240,0
40,Female,Married,HighSchool,Salaried,20,62299,17073,818,2092101,6495134,2059310,120,0
52,Female,Single,HighSchool,SelfEmployed,20,65601,77465,791,2592631,2012760,1562436,120,0
41,Female,Single,HighSchool,SelfEmployed,25,137788,97239,604,4474770,950930,1498616,360,0
32,Male,Single,Graduate,Salaried,17,175372,24259,789,4078584,1188725,888768,60,1
44,Male,Single,Postgraduate,Business,10,192832,55718,897,45232,2945840,2657537,120,1
21,Female,Single,Graduate,Business,21,126672,68673,397,2829455,7411855,964690,360,0
59,Female,Married,HighSchool,Business,27,85202,48777,542,4818750,5491536,924255,360,0
40,Female,Single,Postgraduate,Business,14,157055,96468,378,2901717,6785939,2081019,180,0
48,Female,Single,HighSchool,Business,24,168335,13565,343,443945,7882003,2215810,240,0
43,Male,Single,Postgraduate,SelfEmployed,18,152924,94986,803,1228807,9011383,1069211,240,1
56,Male,Single,HighSchool,Salaried,14,186918,87983,537,2831569,7822153,1548763,240,0
26,Female,Married,HighSchool,SelfEmployed,12,80794,282,339,371616,2460155,875158,360,0
52,Female,Married,HighSchool,Salaried,3,54901,11205,665,1960584,6723754,1491405,60,0
41,Female,Single,Postgraduate,Business,25,41170,8438,836,239968,9177571,2692536,240,0
54,Female,Married,Postgraduate,Salaried,2,161108,77275,776,3024243,1527557,1804581,180,0
31,Female,Single,Graduate,Salaried,23,61305,46037,430,3932747,9078845,956047,360,0
48,Female,Married,Postgraduate,Salaried,20,74042,18099,845,1224744,6470226,768590,120,0
31,Male,Single,Postgraduate,Salaried,4,164130,76637,588,4352892,2202159,2103426,240,0
59,Female,Single,Graduate,SelfEmployed,22,102960,63278,442,627220,8829442,2075608,360,0
34,Female,Married,Graduate,SelfEmployed,8,65939,29516,506,2238673,4558848,973093,180,0
47,Male,Single,HighSchool,Business,23,148669,65677,800,2799250,1521469,2662046,180,0
40,Male,Single,Postgraduate,Business,5,49518,53909,382,515693,3136722,339017,180,0
29,Female,Married,Graduate,SelfEmployed,13,194272,11002,674,1164795,7630030,2777747,360,0
56,Female,Single,Postgraduate,Salaried,0,92175,64307,388,1357453,3511786,195028,180,0
34,Female,Single,HighSchool,Business,8,121108,89709,897,3208823,7957918,957342,360,1
50,Female,Single,HighSchool,Business,17,110998,49812,624,1520943,6836356,1584738,240,0
53,Male,Single,Graduate,Salaried,8,61403,91170,781,312023,6770016,591862,240,1
32,Female,Single,HighSchool,Salaried,18,41649,88668,705,3619348,8460339,2184508,180,0
24,Male,Single,Postgraduate,Salaried,2,26093,46571,493,362455,1534586,1946198,60,0
21,Female,Single,Postgraduate,Business,21,172584,6716,561,3121881,5354042,1713447,180,0
21,Male,Single,Graduate,Salaried,2,88869,5410,731,4396720,4570028,2775685,60,0
28,Male,Married,Graduate,Business,6,162796,3828,617,1342057,2733706,2000341,60,0
29,Female,Single,Graduate,Salaried,16,48623,59156,870,2408630,6337196,2743647,180,0
39,Male,Single,HighSchool,Business,12,190271,61035,318,3714379,6345447,291420,360,0
32,Male,Married,Graduate,Salaried,25,149393,81348,819,647341,2020982,2187342,60,1
40,Female,Married,Postgraduate,Business,0,39995,16977,784,2655982,4704955,965363,60,0
53,Female,Married,HighSchool,SelfEmployed,8,76350,71425,404,2542017,6170706,355948,120,0
34,Female,Single,Postgraduate,Salaried,24,121022,46619,383,4975045,970529,261445,180,0
36,Female,Married,Postgraduate,Salaried,8,174741,94475,718,1752374,4499694,1841373,60,1
51,Male,Single,Graduate,Business,27,25516,79285,406,1046161,7174851,594178,360,0
29,Male,Married,Postgraduate,Business,27,108547,42849,750,3885250,9491899,807755,60,1
43,Female,Single,Postgraduate,SelfEmployed,24,81677,83555,679,3887008,7225275,1099430,240,0
57,Female,Single,Graduate,SelfEmployed,19,132961,40379,718,3265962,6510334,2029341,180,0
58,Female,Single,Postgraduate,Business,0,163510,48515,733,828791,4320887,2558042,180,1
31,Male,Married,Postgraduate,SelfEmployed,13,62093,37226,747,376794,4378450,1621466,360,1
35,Male,Married,Postgraduate,Salaried,25,168124,71849,423,3299973,6428643,2399899,60,0
49,Male,Single,HighSchool,Business,19,74500,36575,577,1683523,8236484,1557640,60,0
33,Female,Single,Postgraduate,Salaried,26,65098,64386,853,2762081,7038655,226060,180,1
41,Female,Single,Graduate,SelfEmployed,6,134619,75250,684,1672795,4593886,2354103,360,0
55,Male,Single,Postgraduate,SelfEmployed,3,185492,55568,398,1542247,7390709,277912,120,0
39,Male,Single,Graduate,Salaried,16,50428,92021,363,788140,6664014,2121770,240,0
25,Male,Married,Graduate,Business,25,63651,13893,828,2227503,3570771,1243647,120,0
56,Female,Single,Graduate,Business,23,17454,20878,798,4755185,1662189,1636081,240,0
24,Male,Single,HighSchool,SelfEmployed,8,115167,82035,636,2199391,9524327,1713374,180,0
25,Male,Single,Postgraduate,Salaried,22,66919,99441,779,953692,717770,742613,120,1
41,Female,Married,Postgraduate,Salaried,23,96442,49847,585,1790008,2326525,418766,180,0
39,Female,Married,Postgraduate,Salaried,7,26590,10886,878,688152,902980,1138336,360,0
33,Female,Married,Graduate,Salaried,0,166203,94754,493,3816126,3346230,1487784,120,0
34,Female,Married,Postgraduate,SelfEmployed,5,34810,24322,487,3731404,9107009,1085132,360,0
39,Male,Married,Postgraduate,Salaried,22,158521,89833,679,237199,7790213,1909595,120,1
22,Female,Single,HighSchool,SelfEmployed,27,83487,17622,866,2330229,5581820,1172358,360,0
59,Male,Single,Graduate,Business,20,181668,34324,702,1684532,9343026,1631192,60,1
42,Male,Single,HighSchool,SelfEmployed,29,136929,80905,783,1598099,1695885,1256083,360,1
44,Male,Married,Postgraduate,SelfEmployed,3,86126,56071,765,4531211,3084182,1908286,120,0
38,Female,Married,HighSchool,SelfEmployed,8,194760,89678,740,578526,7112208,1761945,360,1
46,Female,Married,Postgraduate,Business,16,42990,62551,689,3135812,3438687,1059131,180,0
21,Male,Single,Graduate,SelfEmployed,1,151643,96867,440,2188370,7485945,855612,60,0
47,Male,Married,HighSchool,Business,14,109230,85716,534,1588236,5670080,611511,240,0
31,Male,Married,HighSchool,Salaried,29,93356,16211,592,2901092,2222907,2615967,60,0
55,Male,Married,Postgraduate,Business,2,20355,54120,754,2044940,6032388,443567,60,0
29,Female,Single,Postgraduate,Business,0,173819,76396,472,3360492,1372328,715175,240,0
38,Male,Married,Postgraduate,Salaried,27,62591,62261,737,4510784,664074,2670466,360,0
30,Male,Married,HighSchool,Salaried,9,43172,20132,401,1609473,1237954,807173,60,0
32,Female,Married,Graduate,SelfEmployed,24,147473,85179,529,2535232,8204694,2478907,60,0
48,Female,Married,HighSchool,Business,20,143681,71354,474,2211549,2845704,486721,360,0
26,Male,Married,Graduate,Salaried,0,70350,69561,818,1886963,5804120,2872605,240,0
36,Female,Single,Graduate,Salaried,6,79110,53554,756,379039,1028714,2941351,60,1
43,Male,Married,Graduate,Business,26,191743,90306,788,2189921,7927297,1706734,240,1
43,Female,Married,Postgraduate,Salaried,22,157980,26423,733,257354,8363438,1859771,60,1
37,Male,Married,HighSchool,Business,24,178865,46473,806,744748,5587692,2577748,240,1
51,Female,Single,HighSchool,Salaried,16,47430,23091,401,1596853,5818331,2216142,60,0
46,Male,Married,Graduate,Salaried,10,50063,76721,721,1558426,3092316,1801421,360,0
26,Female,Married,Postgraduate,Business,17,46433,43309,522,3999453,7746813,1084156,240,0
53,Male,Married,HighSchool,Salaried,17,123042,54110,791,1107810,9700891,1921367,180,1
46,Female,Single,HighSchool,Salaried,24,78761,38870,610,4580197,5866645,1535601,120,0
26,Female,Married,HighSchool,Salaried,26,174073,34064,544,3201473,9987265,2136982,360,0
28,Female,Married,HighSchool,Business,0,167614,31312,486,2715223,8490001,712181,360,0
42,Female,Single,Graduate,Business,3,164092,8155,811,692137,781854,2568010,360,0
44,Female,Married,Postgraduate,SelfEmployed,7,20722,27413,454,1806684,2309858,579083,360,0
30,Female,Single,Postgraduate,SelfEmployed,26,70841,67712,626,2707184,8373491,1640724,180,0
55,Male,Single,HighSchool,Business,13,145064,53521,415,4967514,7120241,1736675,60,0
